,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
44,44,Indiana,LaGrange,39614,29,35,9.0,26,24,18,9,145.0,17,25,23.0,25.0,45.0,38,49,23,6,62,28,2.8,11,3.3,103.0,8.4,9.4,43,No,12,54,33,32.3,13.9,0.4,0.4,0.0,0.3,4.2,94.0,3,82,59,6.0,10.0,41,26.0,70746,3.3,3.1,95.0,25,37,0.0,9,10,18,15,78.9,99.5,99.5,99.5,99.5,99.5
45,45,Indiana,Lake,485493,21,38,7.2,27,92,17,25,562.4,25,9,52.0,65.0,186.0,39,43,23,9,89,61,4.9,20,4.6,395.0,9.8,9.6,87,Yes,15,84,41,23.2,16.9,23.3,1.7,0.1,0.6,19.6,53.8,2,70,80,21.0,13.0,56,61.0,57280,3.1,3.0,89.0,9,40,10.0,14,14,15,14,76.3,99.5,99.5,99.5,99.5,99.5
46,46,Indiana,LaPorte,109888,26,37,7.0,30,75,18,25,379.0,34,9,39.0,51.0,99.0,39,51,22,9,88,50,4.3,23,4.3,302.0,11.8,7.7,83,No,13,83,32,21.2,18.5,11.3,0.7,0.0,0.5,6.9,78.8,1,72,79,13.0,17.0,54,51.0,56427,3.2,3.1,90.0,9,39,12.0,14,15,16,14,76.3,99.5,99.5,99.5,99.5,99.5
47,47,Indiana,Lawrence,45370,25,33,7.8,30,79,17,6,317.5,33,9,42.0,46.0,79.0,49,49,20,8,88,56,3.6,15,3.9,315.0,15.3,8.3,72,No,10,85,34,21.3,20.6,0.5,0.7,0.0,0.4,1.7,95.6,0,77,76,7.0,13.0,53,48.0,56261,3.1,3.2,86.0,9,37,4.0,13,14,16,14,76.6,99.5,99.5,99.5,99.5,99.5
48,48,Indiana,Madison,129569,26,40,7.0,32,71,16,19,591.5,33,9,48.0,58.0,135.0,43,55,21,9,88,56,3.7,19,4.5,211.0,13.4,8.4,103,No,13,81,40,21.4,18.7,8.4,0.6,0.1,0.4,4.4,84.6,1,70,79,14.0,21.0,56,49.0,54145,3.2,3.0,91.0,9,40,10.0,15,19,17,14,75.7,99.5,99.5,99.5,99.5,99.5
49,49,Indiana,Marion,964582,22,33,7.0,27,89,19,20,1095.5,33,12,83.0,90.0,301.0,43,52,22,9,86,63,3.3,19,4.7,1251.0,11.4,10.4,98,No,18,82,30,24.6,12.9,28.4,3.8,0.1,0.4,10.9,54.1,4,54,79,24.0,15.0,67,44.0,50707,2.8,2.8,78.0,12,39,9.0,15,12,15,14,76.0,99.5,99.5,99.5,99.5,99.5
50,50,Indiana,Marshall,46258,24,43,8.1,33,54,17,23,275.3,23,13,45.0,43.0,102.0,37,52,20,7,85,50,3.1,13,4.2,,14.7,9.2,66,Yes,12,79,31,25.0,18.3,0.6,0.7,0.1,0.4,10.7,86.6,3,75,70,11.0,18.0,51,45.0,53695,3.2,3.1,92.0,13,38,5.0,12,13,16,14,78.9,99.5,99.5,99.5,99.5,99.5
51,51,Indiana,Martin,10255,25,46,8.2,39,76,18,13,186.0,30,9,20.0,20.0,20.0,37,29,20,8,88,63,2.6,15,4.4,,17.6,8.5,88,Yes,9,80,47,22.2,20.6,0.3,0.5,0.0,0.4,1.2,96.8,0,78,71,,,51,,56735,3.5,3.1,,9,37,1.0,13,10,16,14,77.8,99.5,99.5,99.5,99.5,99.5
52,52,Indiana,Miami,35516,27,38,7.1,37,55,18,23,279.0,28,10,20.0,23.0,62.0,42,44,22,9,86,49,3.9,18,3.9,147.0,13.8,9.1,68,No,10,86,28,21.2,18.0,4.8,0.5,0.0,1.0,3.5,88.3,1,71,76,8.0,12.0,52,39.0,53658,3.2,3.1,98.0,10,38,9.0,15,10,17,15,77.2,99.5,99.5,99.5,99.5,99.5
53,53,Indiana,Monroe,148431,21,25,7.6,21,87,17,13,647.0,7,10,59.0,54.0,262.0,45,55,17,7,93,79,3.3,15,6.0,307.0,9.6,6.5,52,Yes,20,72,18,15.6,13.6,3.5,7.3,0.1,0.3,3.6,83.0,1,56,85,7.0,14.0,37,31.0,53113,3.6,3.4,94.0,10,35,4.0,14,7,15,12,80.5,99.5,99.5,99.5,99.5,99.5
