,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
185,185,Texas,Parmer,9605,18,37,6.6,24,74,18,21.0,325.1,46.0,28,20.0,10.0,,29.0,31.0,28,7.0,71,41,2.2,18,4.1,82.0,14.2,6.1,86.0,No,17,80,14,28.2,14.2,1.1,1.0,0.4,1.7,64.7,32.9,12,67,66,,,70.0,40.0,50607,3.1,2.6,93.0,28,37,20.0,13,11,15,15,77.6,141,141,141,141,141
186,186,Texas,Pecos,15823,18,39,8.0,27,55,18,18.0,364.6,59.0,24,45.0,25.0,25.0,19.0,18.0,27,9.0,69,33,3.3,23,3.9,348.0,7.7,6.2,73.0,Yes,10,83,16,24.5,13.5,3.9,1.3,0.1,1.4,69.0,24.8,7,72,63,16.0,20.0,63.0,22.0,52763,3.1,2.7,92.0,24,37,6.0,12,17,14,14,78.4,141,141,141,141,141
187,187,Texas,Polk,51353,22,40,6.2,34,40,19,18.0,297.0,48.0,22,58.0,35.0,43.0,38.0,47.0,24,7.0,82,41,4.7,27,4.6,286.0,7.6,8.7,114.0,Yes,15,80,37,19.9,19.0,9.6,0.8,0.1,2.3,15.5,70.9,2,76,71,22.0,24.0,73.0,41.0,50416,2.9,2.8,93.0,22,38,12.0,18,20,16,15,73.7,141,141,141,141,141
188,188,Texas,Potter,117415,20,31,6.8,24,71,17,25.0,980.4,57.0,24,74.0,53.0,215.0,36.0,46.0,26,10.0,77,44,2.7,26,4.4,640.0,10.8,6.4,95.0,No,20,82,13,27.3,12.9,10.1,5.8,0.1,1.4,39.1,43.2,9,55,74,20.0,23.0,73.0,40.0,41138,3.1,2.9,90.0,24,37,10.0,16,11,15,15,73.8,141,141,141,141,141
189,189,Texas,Presidio,6704,22,30,2.7,23,95,14,40.0,293.5,83.0,32,29.0,,45.0,20.0,13.0,40,8.0,53,52,6.5,29,5.8,87.0,8.6,5.4,58.0,Yes,11,52,10,26.8,23.9,1.0,3.1,0.0,1.7,82.0,12.9,28,58,48,,,90.0,21.0,33499,2.8,2.5,92.0,32,38,43.0,22,19,17,20,88.8,141,141,141,141,141
190,190,Texas,Rains,12514,21,27,,18,52,20,25.0,195.5,24.0,22,8.0,16.0,40.0,37.0,40.0,20,7.0,85,50,3.0,23,4.4,112.0,9.0,8.3,90.0,Yes,16,78,49,20.2,25.0,2.5,0.8,0.1,1.2,9.4,84.8,1,78,73,,20.0,63.0,2.0,65657,2.8,2.6,88.0,22,37,,15,9,16,14,77.5,141,141,141,141,141
191,191,Texas,Randall,137713,15,30,8.1,27,92,20,17.0,212.7,24.0,13,63.0,58.0,93.0,38.0,46.0,16,8.0,92,74,2.4,12,3.9,547.0,7.9,6.4,66.0,Yes,12,84,17,23.9,15.6,3.1,1.8,0.1,1.0,23.1,70.0,1,71,88,15.0,23.0,43.0,29.0,70694,3.3,3.1,95.0,13,33,4.0,12,8,13,11,79.2,141,141,141,141,141
192,192,Texas,Reagan,3849,17,28,8.5,20,93,18,21.0,296.5,66.0,21,53.0,0.0,,29.0,27.0,25,9.0,82,49,2.5,12,3.8,53.0,10.7,6.1,80.0,No,12,83,21,29.0,11.1,2.5,0.6,0.0,1.1,70.6,25.2,9,67,73,,,62.0,,67384,3.1,3.0,,21,37,2.0,11,7,14,14,80.2,141,141,141,141,141
193,193,Texas,Real,3452,21,20,2.9,22,75,18,27.0,,46.0,24,58.0,58.0,29.0,36.0,34.0,25,6.0,83,29,4.0,33,4.3,90.0,17.3,6.2,70.0,No,12,69,12,16.4,30.5,0.9,0.4,0.3,2.0,27.8,68.4,3,76,62,,,69.0,,40834,2.7,2.4,,24,38,45.0,20,9,16,15,76.5,141,141,141,141,141
194,194,Texas,Red River,12023,23,40,5.5,37,36,18,24.0,327.1,42.0,19,16.0,25.0,33.0,34.0,50.0,23,9.0,85,53,4.6,27,5.4,297.0,13.1,8.7,97.0,Yes,13,84,50,19.6,25.3,16.1,0.4,0.0,1.7,7.0,73.8,0,77,64,,20.0,67.0,43.0,41325,3.0,2.8,,19,39,18.0,19,21,17,15,74.2,141,141,141,141,141
