,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
10,10,Alabama,Cherokee,26196,24,38,7.7,30,33,16,22,386.7,33,13,38.0,15.0,23.0,35,50,23,8,82,48,2.9,23,4.8,330.0,8.5,10.3,106,No,12,82,46,18.9,23.5,4.1,0.4,0.0,0.7,1.7,91.7,0,77,71,28.0,23.0,62,35,45982,2.6,2.8,94,13,38,0,16,16,18,16,74.5,67.5,67.5,67.5,67.5,67.5
11,11,Alabama,Chilton,44428,23,42,7.6,33,46,15,22,342.7,45,16,23.0,29.0,54.0,38,42,24,9,82,40,2.7,23,4.9,508.0,14.9,10.2,92,No,15,84,51,23.8,17.1,9.9,0.5,0.2,0.6,8.2,79.9,2,74,69,14.0,14.0,61,33,49692,2.7,2.8,87,16,39,1,16,19,18,16,74.9,67.5,67.5,67.5,67.5,67.5
12,12,Alabama,Choctaw,12589,23,47,6.1,34,29,14,62,378.5,32,13,39.0,48.0,8.0,48,34,26,11,81,60,4.7,30,5.9,128.0,21.8,8.9,95,No,11,85,46,19.7,23.6,41.6,0.2,0.0,0.2,1.0,56.3,0,81,61,15.0,,77,45,39808,2.1,2.5,83,13,42,7,21,18,18,16,74.7,67.5,67.5,67.5,67.5,67.5
13,13,Alabama,Clarke,23622,24,36,5.7,41,25,14,29,577.2,39,13,54.0,34.0,72.0,36,30,27,13,81,41,5.8,29,8.3,475.0,15.9,9.1,87,No,13,88,40,21.3,20.5,44.7,0.4,0.0,0.6,1.3,52.1,0,70,57,19.0,17.0,71,15,43822,2.8,3.0,93,13,43,11,21,25,19,17,74.6,67.5,67.5,67.5,67.5,67.5
14,14,Alabama,Clay,13235,25,37,7.5,34,64,16,48,643.4,36,16,38.0,15.0,15.0,36,44,25,9,77,34,3.0,26,4.7,309.0,11.3,7.4,96,No,10,87,39,20.2,21.0,13.5,0.3,0.0,0.6,3.3,80.3,0,75,70,19.0,21.0,66,16,40562,2.5,2.8,88,16,39,2,16,16,19,16,74.9,67.5,67.5,67.5,67.5,67.5
15,15,Alabama,Cleburne,14910,24,34,7.2,26,41,16,29,261.7,32,14,20.0,,54.0,27,41,23,8,79,46,3.2,18,4.7,103.0,7.3,9.8,106,No,13,85,55,22.5,20.2,2.7,0.2,0.1,0.5,2.6,92.8,1,76,64,21.0,16.0,54,28,51276,3.1,3.1,94,14,38,2,18,14,18,15,74.4,67.5,67.5,67.5,67.5,67.5
16,16,Alabama,Coffee,52342,21,37,7.2,32,54,16,31,601.5,26,13,46.0,32.0,76.0,40,38,22,9,86,64,2.9,22,4.9,276.0,13.9,9.1,65,No,11,87,28,23.7,17.3,17.1,1.7,0.4,1.4,8.0,69.4,1,66,80,15.0,12.0,46,30,57299,2.9,3.0,94,13,37,6,16,16,16,14,76.4,67.5,67.5,67.5,67.5,67.5
17,17,Alabama,Colbert,55241,22,37,7.0,35,56,16,24,425.7,31,11,64.0,49.0,36.0,40,47,22,11,85,53,3.7,19,4.8,400.0,16.8,7.5,78,No,14,90,29,20.9,20.0,16.0,0.7,0.1,0.7,3.2,77.7,1,72,70,22.0,20.0,53,25,46683,2.9,3.0,93,11,40,7,16,17,17,14,74.6,67.5,67.5,67.5,67.5,67.5
18,18,Alabama,Conecuh,12067,26,42,5.8,43,37,13,18,657.6,36,12,41.0,17.0,58.0,35,45,29,14,84,39,4.0,35,4.8,387.0,7.3,8.8,92,No,13,89,37,20.5,23.5,45.5,0.2,0.0,0.6,2.3,50.4,0,76,53,19.0,,67,23,41539,2.3,2.3,83,12,44,13,20,24,19,18,73.1,67.5,67.5,67.5,67.5,67.5
19,19,Alabama,Coosa,10663,25,45,6.7,36,6,14,34,613.7,37,13,,,9.0,36,42,26,14,80,40,3.0,28,4.6,255.0,11.2,9.8,112,No,13,82,40,16.4,24.1,30.5,0.2,0.2,0.6,2.6,65.1,0,79,69,26.0,,64,55,42024,2.3,2.5,83,13,41,10,16,26,18,16,74.9,67.5,67.5,67.5,67.5,67.5
