,Unnamed: 0,State,County,Population,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,% Uninsured,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,Firearm Fatalities Rate,Crude Rate,% Enrolled in Free or Reduced Lunch,Segregation Index,Median Household Income,Average Grade Performance (Reading),Average Grade Performance (Math),High School Graduation Rate,% Uninsured.1,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,cig_tax_2017,cig_tax_2018,cig_tax_2019,cig_tax_2020,cig_tax_2021
50,50,Iowa,Jasper,37185,20,38,8.6,25,78,25,22,265.1,20,4,40,51.0,105.0,51,60,14,7,94,62,2.9,10,3.8,253.0,16.2,7.9,65,No,10,81,36,22.1,19.5,2.2,0.6,0.1,0.4,2.8,92.9,0,75,80,10.0,17.0,44,40.0,67317,3.1,3.1,94.0,4,32,4,9,14,12,10,79.2,136,136,136,136,136
51,51,Iowa,Jefferson,18295,18,30,8.4,13,67,21,11,255.1,20,8,71,60.0,137.0,33,22,14,6,93,73,2.4,18,4.6,84.0,10.9,8.0,78,No,12,66,14,15.4,23.7,2.4,11.5,0.0,0.3,3.2,80.9,1,66,79,15.0,24.0,40,38.0,51741,3.4,3.0,91.0,8,34,4,11,9,11,10,80.5,136,136,136,136,136
52,52,Iowa,Johnson,151140,14,27,8.9,17,93,23,29,684.3,6,6,192,230.0,376.0,52,64,13,7,95,83,2.0,11,5.6,271.0,8.2,7.4,45,Yes,19,69,20,19.9,12.3,7.3,6.5,0.1,0.4,5.8,78.0,3,58,88,5.0,10.0,33,33.0,67295,3.2,3.3,92.0,6,29,3,8,6,10,9,83.1,136,136,136,136,136
53,53,Iowa,Jones,20681,20,35,8.6,27,74,26,0,233.7,15,5,39,44.0,53.0,61,33,14,6,92,61,3.2,12,3.6,,10.6,8.3,68,Yes,10,77,43,21.0,21.2,2.6,0.6,0.0,0.4,2.2,93.5,1,78,79,,,42,31.0,63399,2.8,2.9,95.0,5,31,5,9,9,12,10,82.0,136,136,136,136,136
54,54,Iowa,Keokuk,10246,21,38,8.2,25,55,26,0,344.7,22,6,10,29.0,,43,41,15,7,93,68,3.3,16,4.3,136.0,13.7,8.1,84,No,11,81,37,23.1,22.0,0.7,0.4,0.0,0.3,1.9,96.0,0,78,76,,20.0,41,28.0,54937,3.2,3.1,,6,32,8,10,9,12,10,79.9,136,136,136,136,136
55,55,Iowa,Kossuth,14813,19,40,7.7,30,64,25,13,100.0,14,5,54,61.0,34.0,60,32,13,5,94,72,2.2,14,4.0,158.0,24.1,7.4,89,No,9,79,17,22.0,24.4,1.0,0.6,0.1,0.4,3.3,93.9,1,76,78,,15.0,45,44.0,59568,3.0,3.2,93.0,5,33,15,9,13,12,10,81.3,136,136,136,136,136
56,56,Iowa,Lee,33657,21,39,7.8,26,75,26,26,294.5,35,5,65,51.0,89.0,43,51,16,8,93,61,3.9,22,3.9,480.0,16.2,8.4,101,Yes,10,84,20,21.2,21.0,3.0,0.6,0.0,0.3,3.7,90.6,0,74,75,12.0,26.0,54,39.0,51089,2.9,2.9,90.0,5,35,7,12,13,13,11,76.2,136,136,136,136,136
57,57,Iowa,Linn,226706,18,33,8.8,21,92,23,23,579.6,15,4,62,74.0,222.0,57,63,13,7,94,75,2.9,13,4.0,226.0,11.0,7.8,66,No,10,85,16,23.0,16.3,6.0,2.6,0.2,0.3,3.4,85.2,1,74,85,9.0,17.0,38,36.0,64783,3.0,3.0,89.0,4,31,5,8,10,11,9,80.5,136,136,136,136,136
58,58,Iowa,Louisa,11035,21,38,9.2,31,67,24,43,411.3,23,9,9,36.0,45.0,44,53,17,6,84,53,3.1,12,4.0,156.0,14.3,8.4,77,No,11,82,36,21.9,19.4,0.9,3.5,0.1,0.5,16.1,78.4,6,77,78,,,47,45.0,60544,2.9,2.9,87.0,9,34,0,8,13,12,11,78.0,136,136,136,136,136
59,59,Iowa,Lucas,8600,21,37,8.1,26,73,23,50,234.4,27,5,81,47.0,116.0,45,42,15,6,92,62,2.1,23,4.2,184.0,13.9,7.4,88,No,10,82,24,22.8,22.4,0.5,0.4,0.0,0.4,2.4,95.7,1,78,76,,,56,,53085,3.0,3.0,98.0,5,35,8,10,15,12,11,77.5,136,136,136,136,136
