,County Pair,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Teen Birth Rate,Primary Care Physicians Rate,Dentist Rate,Mental Health Provider Rate,% With Annual Mammogram,% Vaccinated,% Fair or Poor Health,% Low birthweight,% Completed High School,% Some College,% Unemployed,% Children in Poverty,Income Ratio,Violent Crime Rate,Social Association Rate,Average Daily PM2.5,Injury Death Rate,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,% Less Than 18 Years of Age,% 65 and Over,% Black,% Asian,% Native Hawaiian/Other Pacific Islander,% American Indian & Alaska Native,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Homeowners,% Broadband Access,% Enrolled in Free or Reduced Lunch,Median Household Income,% Insufficient Sleep,% Limited Access to Healthy Foods,% Food Insecure,% Adults with Diabetes,% Frequent Mental Distress,% Frequent Physical Distress,Life Expectancy,Cig Tax Rate
588,Carlton/Douglas,1.0,-4.0,0.3000000000000007,1.0,4.0,-3.0,19.0,-35.400000000000034,3.0,52.0,3.0,33.0,-6.0,2.0,0.0,0.0,0.0,1.0,0.2999999999999998,-6.0,-0.39999999999999947,-13.0,-0.3000000000000007,-0.40000000000000036,2.0,0.0,-1.0,4.0,5.0,2.6999999999999993,-1.6999999999999993,0.5,-0.5000000000000001,0.0,4.0,0.10000000000000009,-3.5,0.0,12.0,-1.0,-11.0,10098.0,0.0,-1.0,-1.0,2.0,-1.0,-1.0,-0.29999999999999716,0.005054046630366293
589,Chisago/Burnett,-2.0,-6.0,1.0,-7.0,9.0,-1.0,-19.0,45.099999999999994,-8.0,32.0,3.0,-3.0,-4.0,19.0,-4.0,2.0,2.0,1.0,-1.5,-17.0,-0.6999999999999997,-159.0,-7.699999999999999,0.9000000000000004,-28.0,0.0,-4.0,1.0,17.0,5.300000000000001,-13.599999999999998,0.5,0.8999999999999999,-0.1,-3.8,0.3999999999999999,2.5999999999999943,0.0,4.0,10.0,-28.0,33292.0,-2.0,-1.0,-5.0,-3.0,-2.0,-3.0,1.5,0.005054046630366293
590,Chisago/Polk,-1.0,-2.0,0.40000000000000036,0.0,12.0,-3.0,-7.0,15.0,-2.0,-31.0,-13.0,-59.0,-7.0,6.0,-3.0,1.0,1.0,1.0,-0.2999999999999998,-6.0,-0.8999999999999995,-206.0,-6.0,0.2999999999999998,-24.0,0.0,-2.0,-1.0,11.0,2.099999999999998,-5.5,0.9,0.7999999999999999,0.0,-0.30000000000000004,0.5,-2.1000000000000085,0.0,7.0,10.0,-16.0,20901.0,-1.0,1.0,-3.0,-4.0,-1.0,-2.0,1.4000000000000057,0.005054046630366293
591,Clay/Cass,-1.0,-4.0,-0.3000000000000007,0.0,0.0,-1.0,-10.0,-143.59999999999997,-4.0,-77.0,-27.0,-52.0,-4.0,-6.0,0.0,0.0,0.0,-1.0,1.0,3.0,0.0,-174.0,1.0,0.9000000000000004,4.0,0.0,1.0,-3.0,9.0,2.3000000000000007,0.9000000000000004,-1.9000000000000004,-2.0,0.0,0.30000000000000004,1.9000000000000004,1.5999999999999943,-1.0,15.0,-4.0,6.0,897.0,-1.0,-1.0,2.0,0.0,1.0,1.0,-0.5999999999999943,0.22262423682314675
592,Clay/Richland,-3.0,-8.0,0.09999999999999964,-8.0,29.0,0.0,-8.0,-28.399999999999977,1.0,-27.0,-15.0,218.0,-2.0,-6.0,-2.0,1.0,4.0,11.0,0.7000000000000002,-2.0,0.0,6.0,-9.299999999999999,0.0,-7.0,0.0,5.0,0.0,-9.0,2.900000000000002,-5.299999999999999,3.3,0.7999999999999999,0.1,-1.3,1.1,-4.5,0.0,-4.0,1.0,0.0,2037.0,-3.0,-6.0,3.0,-2.0,0.0,0.0,0.0,0.22262423682314675
593,Dakota/Pierce,-3.0,0.0,0.1999999999999993,4.0,22.0,-9.0,-33.0,44.69999999999999,4.0,23.0,36.0,134.0,1.0,-3.0,-3.0,1.0,0.0,8.0,-0.5,1.0,0.09999999999999964,-3.0,-1.6000000000000014,0.0,-1.0,0.0,0.0,-1.0,-7.0,3.6999999999999993,-0.6000000000000014,6.4,4.0,0.1,0.09999999999999998,5.3,-16.700000000000003,1.0,2.0,6.0,4.0,13707.0,-2.0,0.0,-1.0,0.0,-3.0,-2.0,0.8999999999999915,0.005054046630366293
594,Faribault/Winnebago,2.0,-4.0,0.0,6.0,-17.0,-3.0,14.0,-76.70000000000002,2.0,10.0,-17.0,34.0,-16.0,-8.0,3.0,-1.0,1.0,1.0,1.4000000000000004,3.0,0.3999999999999999,-46.0,14.499999999999998,0.20000000000000018,-14.0,0.0,2.0,3.0,8.0,0.1999999999999993,1.1999999999999993,-0.7,-0.6,0.1,0.30000000000000004,2.2,-0.7999999999999972,-1.0,1.0,-1.0,8.0,3935.0,-2.0,0.0,0.0,0.0,1.0,1.0,-1.7000000000000028,0.10675808659660485
595,Fillmore/Winneshiek,3.0,-2.0,0.1999999999999993,-1.0,2.0,-5.0,0.0,-61.19999999999999,3.0,-77.0,-13.0,-226.0,-5.0,-8.0,3.0,-1.0,-4.0,-15.0,0.3999999999999999,4.0,0.19999999999999973,3.0,12.899999999999999,-0.2999999999999998,16.0,0.0,3.0,5.0,23.0,6.199999999999999,0.09999999999999787,-0.30000000000000004,-0.5,0.0,0.0,-0.5999999999999999,1.0999999999999943,1.0,2.0,-5.0,1.0,-2766.0,-1.0,-2.0,0.0,-1.0,2.0,2.0,-2.6000000000000085,0.10675808659660485
596,Goodhue/Pierce,0.0,3.0,-0.09999999999999964,7.0,16.0,-7.0,-27.0,-48.5,8.0,33.0,8.0,52.0,5.0,-3.0,-1.0,0.0,-1.0,-2.0,-0.3999999999999999,2.0,0.39999999999999947,-14.0,9.7,0.0,28.0,1.0,1.0,0.0,-6.0,1.5,4.800000000000001,0.5999999999999999,-0.3999999999999999,0.1,1.0,1.1,-2.0999999999999943,0.0,3.0,0.0,5.0,-3871.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.6000000000000085,0.005054046630366293
597,Houston/Winneshiek,1.0,1.0,0.09999999999999964,-1.0,19.0,-3.0,-40.0,-82.19999999999999,2.0,-51.0,-17.0,-218.0,1.0,-6.0,1.0,-1.0,0.0,-6.0,0.30000000000000027,0.0,0.09999999999999964,10.0,-2.9000000000000004,-0.2999999999999998,14.0,0.0,1.0,14.0,11.0,3.3999999999999986,0.8999999999999986,-0.10000000000000009,-0.5,0.0,0.09999999999999998,-1.2,0.7999999999999972,0.0,1.0,1.0,0.0,-562.0,-1.0,0.0,-1.0,2.0,1.0,1.0,-1.4000000000000057,0.10675808659660485
